,0001_cyclone_1.5,0002_eTax,0003_excel_07pro,0004_ppt_07pro,0005_windows_10,0006_word_07pro,0007_wpsExcel_2019,0008_wpsPpt_2019,0009_wpsWord_2019,0010_wps_2019,0011_xingzhida_00,0012_feishu_v3.42.8,0013_DingDing_v4.6.28,0014_jindie_00,0015_sap_740,0016_yongyou_U8,0017_weixin_person_3.2.1,0018_WPS_office_Excel_dianwang,0019_outlook,0020_chrome,0021_IE10,0022_Edge,0023_360,0024_Firefox,0025_Lotus_note,0026_tonghuashun,0027_JYS_F_XJM,statistic
predict_text_number,6251.0,8846.0,35950.0,4711.0,7427.0,16760.0,32608.0,4856.0,22134.0,6145.0,105793.0,14848.0,20770.0,21333.0,15322.0,19550.0,8158.0,50581.0,18000.0,16151.0,12113.0,9391.0,4865.0,9483.0,7117.0,63115.0,127077.0,669355.0
classification_icon_precision,0.9746563434327556,0.9399398928959013,0.873756540536145,0.9306192482679807,0.9549571369655535,0.8896223806492952,0.9017846890782689,0.9277686059078584,0.906632015485452,0.9618295175442738,0.9735355464055792,0.9638008964262187,0.9552779951968977,0.9452008376727202,0.9479756291796803,0.9699270658602582,0.9674964171952367,0.9263073259764337,0.9467060910670982,0.9703863869134239,0.9261103181415988,0.9637603508456759,0.9817505141433289,0.9654999839083336,0.961030475117716,0.9544264871904478,0.9944020121009054,0.9567768555227336
classification_text_precision,0.9811230046212925,0.9001808625346953,0.9465646705241595,0.9074506281585517,0.9621650604259451,0.8238066776622512,0.9053299775965101,0.9408978389436194,0.8095689852282959,0.9754271606928046,0.9412248438542957,0.9607354461157366,0.9422725038889143,0.9555149254417338,0.9139146265897754,0.96859334542919,0.9531747860606179,0.9409857437753589,0.9646666613074074,0.9404990344839389,0.9425410637947572,0.9554892880897744,0.9477903196754301,0.9443214073149699,0.9602360410252067,0.9397132204076476,0.9955617452445669,0.9451322541835869
classification_button_precision,0.9777106084041511,0.907506446813847,0.9368596134505182,0.9196419499181138,0.9596073578908326,0.8442919337376019,0.9045767397546752,0.9332986301214449,0.8317176901048968,0.9709276897764842,0.9499762211646647,0.9620582680728271,0.9477034351755275,0.9518366579653881,0.9301499438803499,0.9691333567649894,0.9594192813037036,0.9339923393706735,0.9562446494667199,0.9540548737894411,0.937726153042336,0.9591558423193085,0.9660291087065458,0.9525285735805169,0.960603766335066,0.9419106138580103,0.9951531270251858,0.949153818768412
classification_icon_recall,0.9576533348670042,0.9499240794170926,0.8826968594427762,0.9474605770099128,0.951695512278714,0.9530410049074822,0.9332941066671282,0.9391686750732907,0.9124884510536996,0.980543408904951,0.9849647263658805,0.9869174072234269,0.9795496730734031,0.9761571967147844,0.9416998794013391,0.9909363162229333,0.9456066799069165,0.9385621182121994,0.9498737313770598,0.9841882207278846,0.9416767731535688,0.9728671574936939,0.9668469557346544,0.9534232891141657,0.9489615046053533,0.9119599817887387,0.9964054309909621,0.964693923583075
classification_text_recall,0.9931983644826176,0.9471868568194737,0.9628214895090358,0.9845693002171971,0.9923621581396728,0.9392516942908048,0.8917384054017871,0.9752401072520788,0.9574672671254754,0.9897622029431604,0.9575716186085071,0.9735207740836637,0.9607284818578936,0.9804242173035245,0.9617444988891175,0.9814958742471576,0.940038673355432,0.9578972770932674,0.9645594880315548,0.9643219847364018,0.960218663076378,0.9703687577552855,0.9802295709985209,0.9718905907109769,0.9022973210681632,0.9217642656319716,0.9979648334414299,0.9616731677196626
classification_button_recall,0.9741775128045057,0.9477080032000386,0.9520776142883242,0.9644552160694525,0.9776106108176053,0.9437298992019756,0.9002283357764012,0.95415446524648,0.945869845953643,0.9867212461356508,0.9650211084828563,0.979267338350478,0.9685619276421107,0.9789088397416059,0.9519015626681293,0.9852995760544083,0.9424787711885992,0.9486626845655172,0.95768571314436,0.9733862582900025,0.954777745693025,0.9714800301922544,0.9728797223490204,0.9645519884594377,0.9233224452424923,0.9202670482081259,0.9974152545935845,0.9627226418921768
ocr_correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
predict_ocr_number,6251.0,8846.0,35950.0,4711.0,7427.0,16760.0,32608.0,4856.0,22134.0,6145.0,105793.0,14848.0,20770.0,21333.0,15322.0,19550.0,8158.0,50581.0,18000.0,16151.0,12113.0,9391.0,4865.0,9483.0,7117.0,63115.0,127077.0,669355.0
gold_ocr_number,6146.0,8717.0,35506.0,4368.0,7156.0,13599.0,31214.0,4658.0,17490.0,6060.0,102726.0,14481.0,20429.0,20658.0,14700.0,19073.0,7934.0,49238.0,17575.0,15554.0,11811.0,9161.0,4619.0,9188.0,6999.0,61757.0,125717.0,646534.0
ocr_precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ocr_recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
